ts,occ,bid,ask
1787234546.038,NBIS260821P00205000,2.0000,2.1200
1787234547.388,NBIS260821P00205000,1.9200,2.1100
1787234548.059,NBIS260821P00205000,1.9400,2.1200
1787234550.159,NBIS260821P00205000,1.9700,2.1200
1787234551.108,NBIS260821P00205000,1.9800,2.1200
1787234552.535,NBIS260821P00205000,2.0000,2.1200
1787234553.034,NBIS260821P00205000,2.0000,2.1200
1787234554.283,NBIS260821P00205000,2.0000,2.1200
1787234555.450,NBIS260821P00205000,2.0000,2.1200
1787234556.037,NBIS260821P00205000,2.0300,2.1200
1787234558.291,NBIS260821P00205000,2.0300,2.1200
1787234559.180,NBIS260821P00205000,2.0500,2.2400
1787234560.026,NBIS260821P00205000,2.1000,2.2400
1787234561.526,NBIS260821P00205000,2.1000,2.2600
1787234562.138,NBIS260821P00205000,2.1000,2.2400
1787234563.354,NBIS260821P00205000,2.1000,2.2400
1787234564.089,NBIS260821P00205000,2.0200,2.1800
1787234565.091,NBIS260821P00205000,2.0200,2.1800
1787234566.377,NBIS260821P00205000,2.1000,2.1800
1787234568.474,NBIS260821P00205000,2.1100,2.1800
1787234569.145,NBIS260821P00205000,2.1100,2.2400
1787234570.040,NBIS260821P00205000,2.1100,2.2400
1787234571.088,NBIS260821P00205000,2.1100,2.1900
1787234572.986,NBIS260821P00205000,2.1100,2.2400
1787234573.047,NBIS260821P00205000,2.1000,2.2400
1787234574.531,NBIS260821P00205000,2.1000,2.2400
1787234575.186,NBIS260821P00205000,2.1200,2.2400
1787234576.519,NBIS260821P00205000,2.1200,2.2400
1787234577.660,NBIS260821P00205000,2.1300,2.2400
1787234578.083,NBIS260821P00205000,2.1300,2.2400
1787234579.165,NBIS260821P00205000,2.2000,2.4500
1787234581.370,NBIS260821P00205000,2.3000,2.4500
1787234582.233,NBIS260821P00205000,2.3000,2.4500
1787234583.826,NBIS260821P00205000,2.3000,2.3700
1787234584.243,NBIS260821P00205000,2.3000,2.3700
1787234585.649,NBIS260821P00205000,2.3100,2.4500
1787234586.066,NBIS260821P00205000,2.3100,2.4500
1787234587.199,NBIS260821P00205000,2.3100,2.4500
1787234588.421,NBIS260821P00205000,2.3100,2.4500
1787234589.038,NBIS260821P00205000,2.3100,2.4500
1787234590.029,NBIS260821P00205000,2.3100,2.4500
1787234591.392,NBIS260821P00205000,2.3000,2.3900
1787234592.040,NBIS260821P00205000,2.3000,2.4400
1787234593.589,NBIS260821P00205000,2.3000,2.4400
1787234594.055,NBIS260821P00205000,2.2500,2.4400
1787234595.014,NBIS260821P00205000,2.1900,2.3900
1787234596.024,NBIS260821P00205000,2.2800,2.4500
1787234597.005,NBIS260821P00205000,2.3000,2.4500
1787234598.078,NBIS260821P00205000,2.3300,2.4500
1787234599.002,NBIS260821P00205000,2.3300,2.5000
1787234600.109,NBIS260821P00205000,2.3300,2.5000
1787234601.578,NBIS260821P00205000,2.3400,2.4500
1787234602.051,NBIS260821P00205000,2.3400,2.4500
1787234603.068,NBIS260821P00205000,2.3500,2.4500
1787234604.043,NBIS260821P00205000,2.2200,2.4500
1787234605.038,NBIS260821P00205000,2.2200,2.4500
1787234606.018,NBIS260821P00205000,2.2200,2.4200
1787234607.290,NBIS260821P00205000,2.2500,2.3300
1787234608.596,NBIS260821P00205000,2.2500,2.4200
1787234609.035,NBIS260821P00205000,2.2100,2.3900
1787234610.004,NBIS260821P00205000,2.2400,2.3900
1787234611.035,NBIS260821P00205000,2.2000,2.3700
1787234612.116,NBIS260821P00205000,2.2000,2.3400
1787234613.036,NBIS260821P00205000,2.2000,2.3400
1787234614.383,NBIS260821P00205000,2.1200,2.3100
1787234615.118,NBIS260821P00205000,2.1200,2.2700
1787234616.140,NBIS260821P00205000,2.1200,2.2700
1787234617.058,NBIS260821P00205000,2.1500,2.2700
1787234618.034,NBIS260821P00205000,2.1500,2.2700
1787234619.393,NBIS260821P00205000,2.1700,2.3500
1787234620.161,NBIS260821P00205000,2.2200,2.3700
1787234622.021,NBIS260821P00205000,2.2200,2.3700
1787234623.179,NBIS260821P00205000,2.2200,2.3700
1787234627.245,NBIS260821P00205000,2.2200,2.3700
1787234628.182,NBIS260821P00205000,2.1900,2.3600
1787234629.014,NBIS260821P00205000,2.1900,2.3400
1787234630.033,NBIS260821P00205000,2.1900,2.3400
1787234631.036,NBIS260821P00205000,2.1900,2.3400
1787234632.058,NBIS260821P00205000,2.1900,2.3400
1787234633.043,NBIS260821P00205000,2.1900,2.3600
1787234634.044,NBIS260821P00205000,2.2000,2.3700
1787234635.091,NBIS260821P00205000,2.2300,2.4300
1787234637.200,NBIS260821P00205000,2.2300,2.3700
1787234638.026,NBIS260821P00205000,2.1700,2.3500
1787234639.021,NBIS260821P00205000,2.2000,2.3500
